2024-04-07 13:51:49, 13.107.6.175, 10.116.172.70, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:49, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:49, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:49, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:49, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:49, 10.116.172.70, 151.101.53.229, UDP
2024-04-07 13:51:49, 151.101.53.229, 10.116.172.70, UDP
2024-04-07 13:51:49, 10.116.172.70, 151.101.53.229, UDP
2024-04-07 13:51:49, 151.101.53.229, 10.116.172.70, UDP
2024-04-07 13:51:49, 10.116.172.70, 151.101.53.229, UDP
2024-04-07 13:51:49, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:50, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:50, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:50, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:50, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:50, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:50, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:50, 10.116.172.70, 17.248.136.168, UDP
2024-04-07 13:51:50, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:50, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:50, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:50, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:50, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:50, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:50, 17.248.136.168, 10.116.172.70, UDP
2024-04-07 13:51:50, 34.232.214.120, 10.116.172.70, TCP
2024-04-07 13:51:50, 10.116.172.70, 34.232.214.120, TCP
2024-04-07 13:51:51, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:51, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:51, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:51, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:51, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:51, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:51, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:51, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:51, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:51, 20.42.73.24, 10.116.172.70, TCP
2024-04-07 13:51:51, 10.116.172.70, 20.42.73.24, TCP
2024-04-07 13:51:52, 10.116.172.70, 104.222.20.6, UDP
2024-04-07 13:51:52, 10.116.172.70, 104.222.20.6, UDP
2024-04-07 13:51:52, 104.222.20.6, 10.116.172.70, UDP
2024-04-07 13:51:52, 104.222.20.6, 10.116.172.70, UDP
